horizon,method,query_budget,accuracy,regret
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.06550738783980542
1,monte_carlo,32,0.0,0.03042786839304573
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.029079639674830127
1,monte_carlo,32,0.0,0.029079639674830127
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.10179989829889244
1,monte_carlo,32,0.0,0.05838252519277867
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.02809905339882185
1,monte_carlo,32,0.0,0.10920032612454858
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.11048799403055448
1,monte_carlo,32,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,1.0,0.0
1,monte_carlo,32,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.01013661073408123
1,monte_carlo,32,0.0,0.09590721134137736
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.03775890887713085
1,monte_carlo,32,0.0,0.10233174074245441
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.07995856763750117
1,monte_carlo,32,0.0,0.026270148168761054
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.026369802726184777
1,monte_carlo,32,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.07684369039006025
1,monte_carlo,32,0.0,0.09002755242676255
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.04119492283931647
1,monte_carlo,32,0.0,0.054511048180150234
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,1.0,0.0
1,monte_carlo,32,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,1.0,0.0
1,monte_carlo,32,0.0,0.16074551963858885
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.11603771586579767
1,monte_carlo,32,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,monte_carlo,8,0.0,0.0460498287338747
1,monte_carlo,32,1.0,0.0
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.04371000830991528
3,monte_carlo,32,0.0,0.09885270946292413
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,1.0,0.0
3,monte_carlo,32,1.0,0.0
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.048077961481577336
3,monte_carlo,32,0.0,0.08038587978894635
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.05796244573942083
3,monte_carlo,32,1.0,0.0
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.07665787199538968
3,monte_carlo,32,1.0,0.0
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,1.0,0.0
3,monte_carlo,32,0.0,0.00041064312680294535
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.0992875700187672
3,monte_carlo,32,0.0,0.0992875700187672
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.034161742776833204
3,monte_carlo,32,0.0,0.034161742776833204
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.05448482638930463
3,monte_carlo,32,0.0,0.06222976800369917
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,1.0,0.0
3,monte_carlo,32,0.0,0.0026312793610925866
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.10249288543282736
3,monte_carlo,32,1.0,0.0
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.06309533344206258
3,monte_carlo,32,0.0,0.06309533344206258
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.006650989029241661
3,monte_carlo,32,0.0,0.025494951256272436
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,1.0,0.0
3,monte_carlo,32,1.0,0.0
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,0.0,0.01838507991546859
3,monte_carlo,32,0.0,0.06484142008057991
3,amplitude_estimation,8,1.0,0.0
3,amplitude_estimation,32,1.0,0.0
3,monte_carlo,8,1.0,0.0
3,monte_carlo,32,1.0,0.0
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.12929365048448857
5,monte_carlo,32,1.0,0.0
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.06021793929606681
5,monte_carlo,32,0.0,0.06021793929606681
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.029588825441633382
5,monte_carlo,32,0.0,0.032848126883555206
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.04165392333291934
5,monte_carlo,32,0.0,0.04165392333291934
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,1.0,0.0
5,monte_carlo,32,0.0,0.11732858656872414
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.017056417567998194
5,monte_carlo,32,0.0,0.0702265826496195
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.05680582104978399
5,monte_carlo,32,0.0,0.004741381657893395
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.02531437807105391
5,monte_carlo,32,0.0,0.0649951160944448
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.01936835637258949
5,monte_carlo,32,0.0,0.01936835637258949
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,1.0,0.0
5,monte_carlo,32,1.0,0.0
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.08896746997772059
5,monte_carlo,32,0.0,0.04381840614437987
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.0012713440404318321
5,monte_carlo,32,0.0,0.0012713440404318321
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,1.0,0.0
5,monte_carlo,32,0.0,0.047092394520644565
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.09441263430813993
5,monte_carlo,32,1.0,0.0
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,1.0,0.0
5,monte_carlo,32,1.0,0.0
5,amplitude_estimation,8,1.0,0.0
5,amplitude_estimation,32,1.0,0.0
5,monte_carlo,8,0.0,0.013959966487867348
5,monte_carlo,32,0.0,0.01355721363938267
