scenario,activation_name,activation_family,activation_slug,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,activation_label,model_name,profile_key,gt_epsilon
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,ground_truth,2|8,0.0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,ground_truth,0|8,0.023930029059646807
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,ground_truth,2|0,0.05134881327052887
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,ground_truth,10|0,0.06717475707213155
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,ground_truth,0|0,0.06914466599532398
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,ground_truth,10|8,0.07806129441947712
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,quantum_encoded,2|8,0.0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,quantum_encoded,0|8,0.023930029059646807
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,quantum_encoded,2|0,0.05134881327052887
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,quantum_encoded,10|0,0.06717475707213155
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,quantum_encoded,0|0,0.06914466599532398
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,quantum_encoded,10|8,0.07806129441947712
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,residual_mlp,2|8,0.0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,residual_mlp,0|8,0.023930029059646807
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,residual_mlp,2|0,0.05134881327052887
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,residual_mlp,10|0,0.06717475707213155
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,residual_mlp,10|8,0.07806129441947712
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,residual_mlp,0|0,0.06914466599532398
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,ground_truth,2|8,0.0
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,ground_truth,0|8,0.04638067605870255
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,ground_truth,10|0,0.06652342270406303
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,ground_truth,2|0,0.08271400490983227
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,ground_truth,10|8,0.08461563887102774
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,quantum_encoded,2|8,0.0
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,quantum_encoded,0|8,0.04638067605870255
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,quantum_encoded,10|0,0.06652342270406303
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,quantum_encoded,2|0,0.08271400490983227
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,quantum_encoded,10|8,0.08461563887102774
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,residual_mlp,0|8,0.04638067605870255
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,residual_mlp,2|8,0.0
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,residual_mlp,2|0,0.08271400490983227
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,residual_mlp,10|0,0.06652342270406303
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,ground_truth,0|8,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,ground_truth,2|0,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,ground_truth,11|9,0.09195593398365964
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,quantum_encoded,0|8,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,quantum_encoded,2|0,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,quantum_encoded,11|9,0.09195593398365964
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,residual_mlp,0|8,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,residual_mlp,2|0,0.0
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,0|8,0.0
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,2|0,0.026544254170936532
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,2|8,0.05475294363301553
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,11|9,0.07758419512082737
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,10|0,0.08740695272540056
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,2|10,0.09243788428839317
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,0|8,0.0
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,2|0,0.026544254170936532
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,2|8,0.05475294363301553
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,11|9,0.07758419512082737
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,10|0,0.08740695272540056
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,2|10,0.09243788428839317
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,residual_mlp,0|8,0.0
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,residual_mlp,2|0,0.026544254170936532
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,residual_mlp,10|0,0.08740695272540056
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,residual_mlp,11|9,0.07758419512082737
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,ground_truth,0|8,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,ground_truth,2|0,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,ground_truth,11|9,0.09195593398365964
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,quantum_encoded,0|8,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,quantum_encoded,2|0,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,quantum_encoded,11|9,0.09195593398365964
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,residual_mlp,0|8,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,residual_mlp,2|0,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,4,1,4.0,low,0.85,False,0.3128885201584534,sparsemax,residual_mlp,11|9,0.09195593398365964
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,0|0,0.0
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,15|8,0.0
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,7|8,0.0355212655499072
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,11|0,0.05532374276564084
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,12|10,0.0638545935130218
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,14|0,0.07127617336327269
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,4|8,0.07543517735923067
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,ground_truth,6|0,0.0803957932987876
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,0|0,0.0
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,15|8,0.0
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,7|8,0.0355212655499072
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,11|0,0.05532374276564084
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,12|10,0.0638545935130218
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,14|0,0.07127617336327269
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,4|8,0.07543517735923067
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,quantum_encoded,6|0,0.0803957932987876
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,residual_mlp,15|8,0.0
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,residual_mlp,6|0,0.0803957932987876
shallow_low_conflict,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,2,4,1,4.0,low,0.85,False,0.3128885201584534,bounded_confidence,residual_mlp,14|0,0.07127617336327269
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,ground_truth,0|8,0.0
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,ground_truth,4|8,0.05808284823604523
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,ground_truth,0|0,0.09629019214783602
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,quantum_encoded,0|8,0.0
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,quantum_encoded,4|8,0.05808284823604523
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,quantum_encoded,0|0,0.09629019214783602
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,residual_mlp,0|8,0.0
medium_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,2,4.0,medium,0.5,False,0.25959803911315,softmax_beta_1p0,residual_mlp,4|8,0.05808284823604523
medium_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p2,ground_truth,0|8,0.0
medium_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p2,ground_truth,4|8,0.03120902177117496
medium_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p2,quantum_encoded,0|8,0.0
medium_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p2,quantum_encoded,4|8,0.03120902177117496
medium_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p2,residual_mlp,0|8,0.0
medium_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p2,residual_mlp,4|8,0.03120902177117496
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p5,ground_truth,0|8,0.0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p5,ground_truth,4|8,0.025857876685863646
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p5,ground_truth,0|10,0.09195593398365964
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p5,quantum_encoded,0|8,0.0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p5,quantum_encoded,4|8,0.025857876685863646
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p5,quantum_encoded,0|10,0.09195593398365964
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,2,4.0,medium,0.5,False,0.25959803911315,entmax_alpha_1p5,residual_mlp,0|8,0.0
