scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,accuracy,rank_correlation,exact_best_index,model_best_index
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,0,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,0,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,0,residual_mlp,1.0,0.9580419580419581,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,1,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,1,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,1,residual_mlp,1.0,0.8671328671328673,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,0,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,0,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,0,residual_mlp,1.0,0.965034965034965,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,1,residual_mlp,1.0,0.9510489510489512,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,0,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,0,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,0,residual_mlp,0.0,0.9860139860139862,3,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,1,ground_truth,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,1,quantum_encoded,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,1,residual_mlp,1.0,0.9580419580419581,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,0,ground_truth,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,0,quantum_encoded,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,0,residual_mlp,1.0,0.9860139860139862,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,1,ground_truth,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,1,quantum_encoded,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,1,residual_mlp,1.0,0.9160839160839163,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,4,0,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,4,0,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,4,0,residual_mlp,1.0,0.9790209790209792,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,4,1,ground_truth,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,4,1,quantum_encoded,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,4,1,residual_mlp,1.0,0.8321678321678322,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,5,0,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,5,0,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,5,0,residual_mlp,0.0,0.9860139860139862,11,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,5,1,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,5,1,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,5,1,residual_mlp,1.0,0.8251748251748254,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,6,0,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,6,0,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,6,0,residual_mlp,1.0,0.9790209790209792,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,6,1,ground_truth,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,6,1,quantum_encoded,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,6,1,residual_mlp,0.0,0.9370629370629372,5,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,7,0,ground_truth,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,7,0,quantum_encoded,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,7,0,residual_mlp,1.0,0.9720279720279721,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,7,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,7,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,7,1,residual_mlp,1.0,0.8531468531468532,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,8,0,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,8,0,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,8,0,residual_mlp,1.0,0.8321678321678322,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,8,1,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,8,1,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,8,1,residual_mlp,1.0,0.9720279720279721,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,9,0,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,9,0,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,9,0,residual_mlp,1.0,0.9930069930069931,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,9,1,ground_truth,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,9,1,quantum_encoded,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,9,1,residual_mlp,1.0,0.9930069930069931,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,10,0,ground_truth,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,10,0,quantum_encoded,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,10,0,residual_mlp,1.0,0.965034965034965,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,10,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,10,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,10,1,residual_mlp,1.0,0.9300699300699302,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,11,0,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,11,0,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,11,0,residual_mlp,1.0,0.9860139860139862,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,11,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,11,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,11,1,residual_mlp,1.0,0.9720279720279721,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,12,0,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,12,0,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,12,0,residual_mlp,1.0,0.9440559440559443,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,12,1,ground_truth,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,12,1,quantum_encoded,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,12,1,residual_mlp,1.0,0.9230769230769231,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,13,0,ground_truth,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,13,0,quantum_encoded,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,13,0,residual_mlp,1.0,0.9790209790209792,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,13,1,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,13,1,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,13,1,residual_mlp,1.0,0.9720279720279721,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,14,0,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,14,0,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,14,0,residual_mlp,1.0,0.9930069930069931,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,14,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,14,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,14,1,residual_mlp,1.0,0.965034965034965,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,0,ground_truth,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,0,quantum_encoded,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,0,residual_mlp,1.0,0.9860139860139862,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,15,1,residual_mlp,1.0,0.9720279720279721,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,0,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,0,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,0,residual_mlp,0.0,0.9930069930069931,1,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,1,ground_truth,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,1,quantum_encoded,1.0,1.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,16,1,residual_mlp,1.0,0.9790209790209792,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,0,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,0,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,0,residual_mlp,1.0,0.9930069930069931,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,1,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,1,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,17,1,residual_mlp,1.0,0.9720279720279721,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,0,ground_truth,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,0,quantum_encoded,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,0,residual_mlp,0.0,0.9930069930069931,9,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,18,1,residual_mlp,1.0,0.9930069930069931,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,0,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,0,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,0,residual_mlp,1.0,0.8321678321678322,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,1,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,1,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,19,1,residual_mlp,1.0,0.8951048951048951,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,0,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,0,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,0,residual_mlp,1.0,0.9370629370629372,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,20,1,residual_mlp,1.0,0.9930069930069931,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,0,ground_truth,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,0,quantum_encoded,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,0,residual_mlp,1.0,0.9930069930069931,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,1,ground_truth,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,1,quantum_encoded,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,21,1,residual_mlp,1.0,0.9930069930069931,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,0,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,0,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,0,residual_mlp,1.0,0.9930069930069931,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,1,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,1,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,22,1,residual_mlp,0.0,0.8811188811188813,1,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,0,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,0,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,0,residual_mlp,1.0,0.9790209790209792,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,1,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,1,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,23,1,residual_mlp,1.0,0.9790209790209792,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,0,ground_truth,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,0,quantum_encoded,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,0,residual_mlp,1.0,0.9790209790209792,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,24,1,residual_mlp,0.0,0.8461538461538463,7,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,0,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,0,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,0,residual_mlp,0.0,0.9930069930069931,8,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,1,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,1,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,25,1,residual_mlp,0.0,0.9860139860139862,11,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,0,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,0,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,0,residual_mlp,0.0,0.9790209790209792,11,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,1,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,1,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,1,residual_mlp,0.0,0.9930069930069931,8,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,0,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,0,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,0,residual_mlp,1.0,0.9790209790209792,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,1,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,1,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,1,residual_mlp,1.0,0.9580419580419581,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,0,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,0,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,0,residual_mlp,1.0,0.965034965034965,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,1,residual_mlp,1.0,0.9930069930069931,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,0,ground_truth,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,0,quantum_encoded,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,0,residual_mlp,1.0,0.9860139860139862,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,1,residual_mlp,1.0,0.9790209790209792,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,0,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,0,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,0,residual_mlp,1.0,0.9300699300699302,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,1,residual_mlp,1.0,0.9510489510489512,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,31,0,ground_truth,1.0,1.0,0,0
